movie_id,primary_title,start_year,runtime_minutes,genres,averagerating,numvotes,studio,domestic_gross_x,foreign_gross,production_budget,worldwide_gross,release_date
tt1800241,american hustle,2013,138.0,"Crime,Drama",7.2,418221,Sony,150100000.0,101100000.0,40000000.0,257878294.0,2013-12-13
tt1800246,that awkward moment,2014,94.0,"Comedy,Romance",6.2,92148,Focus,26100000.0,14400000.0,8000000.0,53068955.0,2014-01-31
tt1800741,step up revolution,2012,99.0,"Drama,Music,Romance",6.5,51295,LG/S,35100000.0,105400000.0,33000000.0,165552290.0,2012-07-27
tt1805319,mama,2010,50.0,Drama,4.5,6,Uni.,71600000.0,74800000.0,15000000.0,148095566.0,2013-01-18
tt1868050,mama,2010,71.0,Drama,6.8,24,Uni.,71600000.0,74800000.0,15000000.0,148095566.0,2013-01-18
tt2023587,mama,2013,100.0,"Horror,Thriller",6.2,158487,Uni.,71600000.0,74800000.0,15000000.0,148095566.0,2013-01-18
tt3843072,mama,2011,110.0,Drama,6.6,18,Uni.,71600000.0,74800000.0,15000000.0,148095566.0,2013-01-18
tt5437970,mama,2016,90.0,Drama,6.7,25,Uni.,71600000.0,74800000.0,15000000.0,148095566.0,2013-01-18
tt1805411,son of god,2010,80.0,Documentary,6.8,13,Fox,59700000.0,8100000.0,22000000.0,70949793.0,2014-02-28
tt3210686,son of god,2014,138.0,"Biography,Drama,History",5.8,17606,Fox,59700000.0,8100000.0,22000000.0,70949793.0,2014-02-28
tt1809231,jackpot,2011,86.0,"Action,Comedy,Crime",6.6,2941,DR,800.0,1100000.0,400000.0,44452.0,2001-07-27
tt3309662,jackpot,2013,132.0,"Comedy,Thriller",2.1,647,DR,800.0,1100000.0,400000.0,44452.0,2001-07-27
tt4320966,jackpot,2015,92.0,Comedy,6.7,55,DR,800.0,1100000.0,400000.0,44452.0,2001-07-27
tt8671762,jackpot,2018,150.0,"Comedy,Romance",7.8,18,DR,800.0,1100000.0,400000.0,44452.0,2001-07-27
tt1809398,unbroken,2014,137.0,"Biography,Drama,Sport",7.2,129981,Uni.,115600000.0,47800000.0,65000000.0,163527824.0,2014-12-25
tt1815862,after earth,2013,100.0,"Action,Adventure,Drama",4.8,181687,Sony,60500000.0,183300000.0,130000000.0,251499665.0,2013-05-31
tt1817273,the place beyond the pines,2012,140.0,"Crime,Drama,Thriller",7.3,226765,Focus,21400000.0,14100000.0,15000000.0,47011449.0,2013-03-29
tt1821549,nebraska,2013,115.0,"Adventure,Comedy,Drama",7.7,105304,Par.,17700000.0,10000000.0,12000000.0,24761360.0,2013-11-15
tt1821658,the nut job,2014,85.0,"Adventure,Animation,Comedy",5.7,24587,ORF,64300000.0,56600000.0,30000000.0,122529966.0,2014-01-17
tt1821694,red 2,2013,116.0,"Action,Comedy,Crime",6.6,148846,LG/S,53300000.0,94800000.0,84000000.0,141507355.0,2013-07-19
tt1823672,chappie,2015,120.0,"Action,Crime,Drama",6.8,213733,Sony,31600000.0,70500000.0,49000000.0,105002056.0,2015-03-06
tt1825683,black panther,2018,134.0,"Action,Adventure,Sci-Fi",7.3,516148,BV,700100000.0,646900000.0,200000000.0,1348258224.0,2018-02-16
tt1826727,life of the party,2017,84.0,"Comedy,Drama",7.6,47,WB (NL),53100000.0,12800000.0,30000000.0,65759911.0,2018-05-11
tt5619332,life of the party,2018,105.0,Comedy,5.5,25756,WB (NL),53100000.0,12800000.0,30000000.0,65759911.0,2018-05-11
tt1828325,the gambler,2015,105.0,Drama,7.0,10,Par.,33700000.0,5600000.0,25000000.0,38718031.0,2014-12-10
tt2039393,the gambler,2014,111.0,"Crime,Drama,Thriller",6.0,59995,Par.,33700000.0,5600000.0,25000000.0,38718031.0,2014-12-10
tt2843832,the gambler,2013,52.0,Documentary,7.6,14,Par.,33700000.0,5600000.0,25000000.0,38718031.0,2014-12-10
tt2924336,the gambler,2013,109.0,"Drama,Thriller",7.2,1479,Par.,33700000.0,5600000.0,25000000.0,38718031.0,2014-12-10
tt9447594,the gambler,2019,121.0,"Action,Sci-Fi,Thriller",6.1,10,Par.,33700000.0,5600000.0,25000000.0,38718031.0,2014-12-10
tt1833673,dhoom 3,2013,172.0,"Action,Thriller",5.4,40466,Yash,8000000.0,80000000.0,24000000.0,11723620.0,2013-12-20
tt1833881,chloe,2013,73.0,"Drama,Music,Romance",6.9,34,SPC,3100000.0,8600000.0,13000000.0,11831131.0,2010-03-26
tt1837703,the fifth estate,2013,128.0,"Biography,Drama,Thriller",6.2,36392,BV,3300000.0,5300000.0,26000000.0,6154172.0,2013-10-18
